nhood,day_of_week,hour_bucket,avg_pickups,max_pickups,min_pickups,nhood_id,hour_bucket_id
Financial District,3,19-0,7.98,87.0,0.0,4,3
Financial District,3,7-10,20.39,110.75,3.75,4,4
Financial District,4,0-7,3.42,29.5,0.0,4,0
Financial District,4,10-16,12.05,70.0,2.0,4,1
Financial District,4,16-19,12.78,92.5,1.5,4,2
Financial District,4,19-0,10.9,110.75,0.25,4,3
Financial District,4,7-10,18.4,109.0,4.25,4,4
Financial District,5,0-7,1.04,13.5,0.0,4,0
Financial District,5,10-16,8.23,60.75,0.25,4,1
Financial District,5,16-19,10.86,78.25,1.25,4,2
Financial District,5,19-0,9.62,112.0,0.25,4,3
Financial District,5,7-10,4.33,41.0,0.25,4,4
Financial District,6,0-7,0.9,12.5,0.0,4,0
Financial District,6,10-16,6.35,49.25,1.25,4,1
Financial District,6,16-19,7.23,55.75,0.5,4,2
Financial District,6,19-0,3.56,51.0,0.0,4,3
Financial District,6,7-10,2.96,29.0,0.0,4,4
Haight Ashbury/Cole Valley,0,0-7,1.97,13.0,0.0,5,0
Haight Ashbury/Cole Valley,0,10-16,5.7,20.2,0.4,5,1
Haight Ashbury/Cole Valley,0,16-19,9.85,38.4,0.4,5,2
Haight Ashbury/Cole Valley,0,19-0,7.02,38.6,0.0,5,3
Haight Ashbury/Cole Valley,0,7-10,6.1,21.0,0.2,5,4
Haight Ashbury/Cole Valley,1,0-7,1.99,11.2,0.0,5,0
Haight Ashbury/Cole Valley,1,10-16,5.83,20.6,0.2,5,1
Haight Ashbury/Cole Valley,1,16-19,10.61,48.4,0.2,5,2
Haight Ashbury/Cole Valley,1,19-0,8.71,54.4,0.0,5,3
Haight Ashbury/Cole Valley,1,7-10,7.05,26.2,0.2,5,4
Haight Ashbury/Cole Valley,2,0-7,2.18,14.4,0.0,5,0
Haight Ashbury/Cole Valley,2,10-16,6.2,24.8,0.2,5,1
Haight Ashbury/Cole Valley,2,16-19,11.6,54.6,1.8,5,2
Haight Ashbury/Cole Valley,2,19-0,10.5,61.4,0.0,5,3
Haight Ashbury/Cole Valley,2,7-10,7.75,26.6,0.6,5,4
Haight Ashbury/Cole Valley,3,0-7,2.34,15.25,0.0,5,0
Haight Ashbury/Cole Valley,3,10-16,6.57,24.25,0.25,5,1
Haight Ashbury/Cole Valley,3,16-19,10.51,42.5,1.5,5,2
Haight Ashbury/Cole Valley,3,19-0,12.57,61.0,0.5,5,3
Haight Ashbury/Cole Valley,3,7-10,7.49,25.25,0.75,5,4
Haight Ashbury/Cole Valley,4,0-7,2.47,12.75,0.0,5,0
Haight Ashbury/Cole Valley,4,10-16,7.18,26.75,0.25,5,1
Haight Ashbury/Cole Valley,4,16-19,13.18,54.5,1.5,5,2
Haight Ashbury/Cole Valley,4,19-0,17.82,77.5,1.0,5,3
Haight Ashbury/Cole Valley,4,7-10,6.82,28.75,0.5,5,4
Haight Ashbury/Cole Valley,5,0-7,2.62,15.75,0.0,5,0
Haight Ashbury/Cole Valley,5,10-16,12.11,40.5,1.5,5,1
Haight Ashbury/Cole Valley,5,16-19,16.5,54.25,2.75,5,2
Haight Ashbury/Cole Valley,5,19-0,17.64,78.0,0.5,5,3
Haight Ashbury/Cole Valley,5,7-10,4.92,22.5,0.0,5,4
Haight Ashbury/Cole Valley,6,0-7,2.58,16.0,0.0,5,0
Haight Ashbury/Cole Valley,6,10-16,10.24,32.0,1.25,5,1
Haight Ashbury/Cole Valley,6,16-19,12.95,47.0,1.75,5,2
Haight Ashbury/Cole Valley,6,19-0,6.88,42.5,0.0,5,3
Haight Ashbury/Cole Valley,6,7-10,4.47,19.5,0.25,5,4
Hayes Valley/Lower Haight,0,0-7,2.21,6.8,0.2,6,0
Hayes Valley/Lower Haight,0,10-16,7.36,20.8,1.8,6,1
Hayes Valley/Lower Haight,0,16-19,14.64,57.8,2.2,6,2
Hayes Valley/Lower Haight,0,19-0,10.54,63.2,0.6,6,3
Hayes Valley/Lower Haight,0,7-10,8.97,25.2,1.6,6,4
Hayes Valley/Lower Haight,1,0-7,2.03,7.6,0.2,6,0
Hayes Valley/Lower Haight,1,10-16,8.41,23.6,2.0,6,1
Hayes Valley/Lower Haight,1,16-19,17.47,72.4,3.2,6,2
Hayes Valley/Lower Haight,1,19-0,13.5,71.4,0.4,6,3
Hayes Valley/Lower Haight,1,7-10,10.02,24.0,1.8,6,4
Hayes Valley/Lower Haight,2,0-7,1.86,7.0,0.2,6,0
Hayes Valley/Lower Haight,2,10-16,8.99,26.8,1.8,6,1
Hayes Valley/Lower Haight,2,16-19,19.48,96.6,3.8,6,2
Hayes Valley/Lower Haight,2,19-0,16.25,80.8,0.4,6,3
Hayes Valley/Lower Haight,2,7-10,10.41,26.6,1.4,6,4
Hayes Valley/Lower Haight,3,0-7,2.21,8.25,0.0,6,0
Hayes Valley/Lower Haight,3,10-16,9.64,29.75,2.25,6,1
Hayes Valley/Lower Haight,3,16-19,17.73,86.25,4.0,6,2
Hayes Valley/Lower Haight,3,19-0,18.79,85.0,2.0,6,3
Hayes Valley/Lower Haight,3,7-10,11.28,37.5,1.25,6,4
Hayes Valley/Lower Haight,4,0-7,2.42,8.25,0.0,6,0
Hayes Valley/Lower Haight,4,10-16,10.03,29.0,2.5,6,1
Hayes Valley/Lower Haight,4,16-19,21.23,103.0,3.75,6,2
Hayes Valley/Lower Haight,4,19-0,26.03,119.75,3.5,6,3
Hayes Valley/Lower Haight,4,7-10,10.83,29.5,0.5,6,4
Hayes Valley/Lower Haight,5,0-7,3.12,12.25,0.25,6,0
Hayes Valley/Lower Haight,5,10-16,15.73,51.0,3.75,6,1
Hayes Valley/Lower Haight,5,16-19,26.75,111.0,7.5,6,2
Hayes Valley/Lower Haight,5,19-0,25.76,120.5,4.0,6,3
Hayes Valley/Lower Haight,5,7-10,6.63,20.75,1.0,6,4
Hayes Valley/Lower Haight,6,0-7,3.44,13.75,0.0,6,0
Hayes Valley/Lower Haight,6,10-16,14.98,56.5,3.5,6,1
Hayes Valley/Lower Haight,6,16-19,19.11,64.5,5.0,6,2
Hayes Valley/Lower Haight,6,19-0,9.46,44.25,0.5,6,3
Hayes Valley/Lower Haight,6,7-10,5.67,19.25,0.25,6,4
Inner Richmond,0,0-7,1.21,5.0,0.0,7,0
Inner Richmond,0,10-16,3.19,8.4,0.2,7,1
Inner Richmond,0,16-19,6.03,16.0,0.6,7,2
Inner Richmond,0,19-0,3.6,15.6,0.0,7,3
Inner Richmond,0,7-10,3.43,8.6,0.4,7,4
Inner Richmond,1,0-7,0.96,5.2,0.0,7,0
Inner Richmond,1,10-16,3.41,12.2,0.0,7,1
Inner Richmond,1,16-19,6.58,17.6,0.6,7,2
Inner Richmond,1,19-0,4.67,19.2,0.0,7,3
Inner Richmond,1,7-10,3.71,13.8,0.4,7,4
Inner Richmond,2,0-7,1.04,5.2,0.0,7,0
Inner Richmond,2,10-16,3.71,11.8,0.0,7,1
Inner Richmond,2,16-19,7.46,20.6,0.2,7,2
Inner Richmond,2,19-0,5.55,24.2,0.0,7,3
Inner Richmond,2,7-10,4.08,9.2,0.2,7,4
Inner Richmond,3,0-7,1.06,4.75,0.0,7,0
Inner Richmond,3,10-16,3.9,12.5,0.25,7,1
