nhood,day_of_week,hour_bucket,total_travel_time,avg_travel_time,min_travel_time,max_travel_time
Haight Ashbury/Cole Valley,3,10-16,216750.78,1062.5038235294116,485.29,2857.24
Haight Ashbury/Cole Valley,3,16-19,177673.63,1192.4404697986577,524.0,2798.44
Haight Ashbury/Cole Valley,3,19-0,174967.26,861.907684729064,55.33,2145.13
Haight Ashbury/Cole Valley,3,7-10,185868.25,1176.381329113924,527.78,3078.36
Haight Ashbury/Cole Valley,4,0-7,129855.12,877.3994594594594,363.42,2190.88
Haight Ashbury/Cole Valley,4,10-16,239817.29,1136.574834123223,469.71,4458.43
Haight Ashbury/Cole Valley,4,16-19,160984.15,1183.7069852941177,525.17,2583.37
Haight Ashbury/Cole Valley,4,19-0,175648.26,828.5295283018868,50.71,2435.33
Haight Ashbury/Cole Valley,4,7-10,158068.65,1000.434493670886,491.88,2560.0
Haight Ashbury/Cole Valley,5,0-7,135823.86,803.6914792899407,381.0,1945.0
Haight Ashbury/Cole Valley,5,10-16,178218.33,995.63312849162,494.5,3917.83
Haight Ashbury/Cole Valley,5,16-19,136575.51,975.5393571428572,532.25,2458.33
Haight Ashbury/Cole Valley,5,19-0,150211.55,786.4479057591623,62.44,1639.67
Haight Ashbury/Cole Valley,5,7-10,110858.25,786.2287234042553,467.38,2105.83
Haight Ashbury/Cole Valley,6,0-7,143834.87,861.2866467065868,404.89,1823.3
Haight Ashbury/Cole Valley,6,10-16,188678.97,987.8480104712042,453.71,3867.09
Haight Ashbury/Cole Valley,6,16-19,141623.12,913.6975483870967,516.86,3761.17
Haight Ashbury/Cole Valley,6,19-0,154693.18,845.3179234972678,60.0,2607.63
Haight Ashbury/Cole Valley,6,7-10,99462.81,783.1717322834645,346.5,1655.33
Hayes Valley/Lower Haight,0,0-7,10263.46,3421.153333333333,3028.29,3694.0
Hayes Valley/Lower Haight,0,10-16,58362.27,2918.1135,2519.86,3503.38
Hayes Valley/Lower Haight,0,16-19,27208.34,3401.0425,3257.75,3710.0
Hayes Valley/Lower Haight,0,19-0,27165.77,1293.6080952380953,128.6,3016.86
Hayes Valley/Lower Haight,0,7-10,50443.97,3603.1407142857142,1812.43,4359.86
Hayes Valley/Lower Haight,1,0-7,9794.84,3264.9466666666667,2721.0,3811.17
Hayes Valley/Lower Haight,1,10-16,61265.49,3063.2745,2705.67,3430.45
Hayes Valley/Lower Haight,1,16-19,51402.27,3954.020769230769,3351.45,5081.0
Hayes Valley/Lower Haight,1,19-0,60597.590000000004,1836.2906060606063,145.41,3232.5
Hayes Valley/Lower Haight,1,7-10,73209.24,3660.4620000000004,1537.38,4947.59
Hayes Valley/Lower Haight,2,0-7,16634.18,3326.8360000000002,2173.73,4375.5
Hayes Valley/Lower Haight,2,10-16,71849.13,3123.8752173913044,2273.17,3737.65
Hayes Valley/Lower Haight,2,16-19,59475.32,3965.021333333333,3183.57,4735.67
Hayes Valley/Lower Haight,2,19-0,49930.22,1721.731724137931,119.62,3115.89
Hayes Valley/Lower Haight,2,7-10,75237.77,3761.8885,2986.0,4679.72
Hayes Valley/Lower Haight,3,0-7,3292.13,3292.13,3292.13,3292.13
Hayes Valley/Lower Haight,3,10-16,70894.28,3222.4672727272728,2592.57,4031.78
Hayes Valley/Lower Haight,3,16-19,68797.18000000001,4046.892941176471,3141.43,4999.33
Hayes Valley/Lower Haight,3,19-0,53293.86,1776.462,187.95,3107.0
Hayes Valley/Lower Haight,3,7-10,69323.06,3851.281111111111,2842.33,5583.89
Hayes Valley/Lower Haight,4,10-16,68371.33,3255.7776190476193,2896.29,3695.11
Hayes Valley/Lower Haight,4,16-19,41616.72,3783.338181818182,2415.14,4735.33
Hayes Valley/Lower Haight,4,19-0,28087.78,1337.5133333333333,154.9,3493.0
Hayes Valley/Lower Haight,4,7-10,50877.53,3391.8353333333334,2811.88,3929.83
Hayes Valley/Lower Haight,5,0-7,3755.1000000000004,1877.5500000000002,1730.67,2024.43
Hayes Valley/Lower Haight,5,10-16,26635.06,2959.4511111111115,2735.29,3470.33
Hayes Valley/Lower Haight,5,16-19,14814.15,2962.83,2376.0,3381.0
Hayes Valley/Lower Haight,5,19-0,25856.23,1175.283181818182,160.17,2836.83
Hayes Valley/Lower Haight,6,0-7,11992.85,1998.8083333333334,1727.17,2766.4
Hayes Valley/Lower Haight,6,10-16,16182.3,2697.0499999999997,2584.67,2873.83
Hayes Valley/Lower Haight,6,16-19,8469.61,2823.2033333333334,2755.33,2892.14
Hayes Valley/Lower Haight,6,19-0,9087.61,649.115,154.07,2654.25
Inner Richmond,0,0-7,31856.66,796.4165,278.43,1488.8
Inner Richmond,0,10-16,54739.77,817.0114925373134,348.17,1571.11
Inner Richmond,0,16-19,22069.28,761.0096551724138,347.4,1437.63
Inner Richmond,0,19-0,18785.64,587.05125,319.57,1189.44
Inner Richmond,0,7-10,35375.0,956.081081081081,350.8,1820.68
Inner Richmond,1,0-7,26197.99,818.6871875,385.67,1630.69
Inner Richmond,1,10-16,48046.27,800.7711666666667,339.17,1672.33
Inner Richmond,1,16-19,24876.68,921.3585185185185,339.36,4263.5
Inner Richmond,1,19-0,33556.52,713.9685106382979,260.78,1476.83
Inner Richmond,1,7-10,37365.18,1132.2781818181818,398.6,2193.43
Inner Richmond,2,0-7,30277.44,776.3446153846154,392.43,1501.78
